Name,Brand,Price,DiscountedPrice,Category,SubCategory,Quantity,Description,BreadCrumbs,Item
Loacker Quadratini Chocolate Wafer Cookies,Loacker,199,175,Packaged Food,Gourmet Food,125 gm,Italy,Packaged Food > Gourmet Food,Wafer Cookies
Loacker Quadratini Dark Chocolate Wafer Cookies,Loacker,199,175,Packaged Food,Gourmet Food,125 gm,Italy,Packaged Food > Gourmet Food,Wafer Cookies
Loacker Quadratini Napolitaner Wafer Cookies,Loacker,199,175,Packaged Food,Gourmet Food,125 gm,Italy,Packaged Food > Gourmet Food,Wafer Cookies
Loacker Quadratini Vanilla Wafer Cookies,Loacker,199,175,Packaged Food,Gourmet Food,125 gm,Italy,Packaged Food > Gourmet Food,Wafer Cookies
Nutrivalue Whole Ragi Health Vizkits Biscuits,Nutrivalue,80,64,Packaged Food,Biscuits & Cookies,150 gm,"Overview:Most biscuits available in the market contain refined floor (maida). Ten years ago NutriValue launched with whole grain/no maida biscuits. Nutri Value Iron fortified Vizkits contains Ferrazon (Sodium Feredetate that meets JECFA specification) are made with an exclusive formulation which substitutes not easily digestible maida with healthier base of Ragi which is rich in nutrition, fiber. Vizkits are Ragi based biscuits - rich in iron, calcium, Vita-A, B- complex constituents and proteins.Key Features200g Healthy Nutritional Supplement made of Whole Ragi with no Maida healthy in-meal snacking alternativeRaagi / Nachni Finger Millet that acts as a body Coolant, Antacid, Improves blood productionIncreases fairness of skinEases digestionHelps in the strengthening of bones, muscles, blood formation & circulationHighly recommended for toddlers, children, elderly & pregnant ladiesNo Maida Sehat ZydaRich in Iron, Calcium, Vitamins and essential amino acidsRich in B-complex and RoughageBlood purifierIngredients100% whole wheat flour, Sugar, special bakery shortnings, Ragi (Finger Millets), cow milk, cocoa powder, mineral salt, puffed rice flakes, moong dal (Vigna radiate), Dry Ginger (Zingiber officinale), Pimpli (Piper longum), Vakeri (Caesalpinia spp), Vavading (Embelica ribes), Anant root (Hemidesmus indica), Yashimadhu (Glycerrhiza glabra), Shatavri (Asparagus racemous), Ashwagandha (Withania somnifera), Gulvel Ext. (tinospora cordifolia), Iron Fortified Sodium FeredetateApplicationCan be used as snack or with teaStorage ConditionStore in a cool and dry place. ",Packaged Food > Biscuits & Cookies,Biscuits
Nutrivalue Dibeck Health Biscuits,Nutrivalue,80,59,Packaged Food,Biscuits & Cookies,150 gm,"Overview:Iron fortified Ragi based biscuits for the Diabetic. Ragi is known for its low glycemic index and high protein value. Includes ayurvedic herbs to regulate excess blood sugar and rebuilding tissues affected by diabetes. Contains wheat and dietary fibre. Rich in iron & calcium.Key FeaturesHealthy Nutritional Supplement for Diabetic patients as well as healthy in-meal snacking alternative'No Maida Sehat Zyada'Iron fortifiedRagi based biscuits for the diabeticRagi is known for its low glycemic index and high protein value.Raagi / Nachni Finger Millet that acts as a body Coolant, Antacid, Improves blood productionRich in B-complex and RoughageBlood purifierNo trans fatAnti-diabetic contentsEases digestionIncludes ayurvedic herbs to regulate excess blood sugar & rebuilding tissues affected by diabetesContains wheat and dietary fibreRich in iron & calciumIngredients100% whole wheat flour, Sugar, special bakery shortnings, Ragi (Finger Millets), milk powder,Ammonium Carbonate, Flavour Enhancer, common salt, Fenugreek (Trigonella foenum-graecum), Ambe Haldi (Zingiber neesanum), Bail leaves (Laurus nobilis), Karela/ Bitter Gourd (Momordica charantia), Jambhul Seeds (Syzygium cumini), Gudmar (Gymneme sylvestre), Neem (Azadirachta indica), Saptarangi (Salacia chenesis),Puffed Paddy (puffed rice flakes), moong dal (Vigna radiate), Vakeri (Caesalpinia spp),Dry Ginger (Zingiber officinale), Pimpli (Piper longum) , Vavading (Embelica ribes), Anant root (Hemidesmus indica), Yashimadhu (Glycerrhiza glabra), Shatavri (Asparagus racemous), Ashwagandha (Withania somnifera), Gulvel Ext. (tinospora cordifolia), Iron Fortified Sodium Feredetate, Emulsifier E472ApplicationCan be used as snack or with tea.Storage ConditionStore in a cool and dry place. ",Packaged Food > Biscuits & Cookies,Biscuits
Haldiram's Bhujia Sev,Haldiram's,55,49,Packaged Food,Snacks & Farsans,150 gm,"OverviewHaldirams Bhujia Sev is a authentic namkeen. This classic snack is made with chickpea flour and some spices. This is a popular Indian snack that is originated from Rajasthan. It is a great accompaniment to savoury snacks that adds texture to classic Indian snacks. This are delicious and flavourful snacks. It is crispy, flavourful and textured. This delightful snack can be eaten as it is.",Packaged Food > Snacks & Farsans,Bhujia Sev
Haldiram's Bhujia Sev,Haldiram's,105,87,Packaged Food,Snacks & Farsans,350 gm,"OverviewHaldirams Bhujia Sev is a authentic namkeen. This classic snack is made with chickpea flour and some spices. This is a popular Indian snack that is originated from Rajasthan. It is a great accompaniment to savoury snacks that adds texture to classic Indian snacks. This are delicious and flavourful snacks. It is crispy, flavourful and textured. This delightful snack can be eaten as it is.",Packaged Food > Snacks & Farsans,Bhujia Sev
Haldiram's Bhujia Sev,Haldiram's,260,209,Packaged Food,Snacks & Farsans,1 kg,"OverviewHaldirams Bhujia Sev is a authentic namkeen. This classic snack is made with chickpea flour and some spices. This is a popular Indian snack that is originated from Rajasthan. It is a great accompaniment to savoury snacks that adds texture to classic Indian snacks. This are delicious and flavourful snacks. It is crispy, flavourful and textured. This delightful snack can be eaten as it is.",Packaged Food > Snacks & Farsans,Bhujia Sev
Haldiram's Aloo Bhujia,Haldiram's,52,44,Packaged Food,Snacks & Farsans,150 gm,"OverviewHaldiram&rsquo;s Aloo Bhujia is prepared from potatoes and special spice, this snack has a nice highly spiced flavour. The tastes enormous with any food you have. Carry a small suitable pack to your office and have something to munch on when hungry.IngredientsPeanut Oil, Gram Flour, Tepary Bean Flour, Starch, Salt, Citric Acid, Coriander Powder, Cumin Powder, Mango Powder, Dry Ginger, Red Chilli, Dry Spearmint, Mace, Nutmeg.How to Use- Haldiram's price is also quite reasonable.- Buy Haldiram's snack online now and have it delivered right to your doorstep! Now no more hassle of standing in long queues of billing counters.Storage- Store in a cool and dry place.",Packaged Food > Snacks & Farsans,Aloo Bhujia
Haldiram's Aloo Bhujia,Haldiram's,90,78,Packaged Food,Snacks & Farsans,350 gm,"OverviewHaldiram&rsquo;s Aloo Bhujia is made of tasty ingredients, that make the bhujia crunchy and delicious. This product uses 100 % natural ingredients in the preparation of Bhujia.",Packaged Food > Snacks & Farsans,Aloo Bhujia
Haldiram's Aloo Bhujia,Haldiram's,225,164,Packaged Food,Snacks & Farsans,1 kg,"OverviewHaldiram&rsquo;s Aloo Bhujia is an authentic namkeen. This classic snack is made with chickpea flour, potato and some spices. This is a popular Indian snack that has its origins in Rajasthan. It is a great accompaniment to savoury snacks that adds texture to classic Indian snacks. This is a delicious and flavourful snacks. It is crispy, flavourful and textured. This delightful snack can be eaten as it is. It&rsquo;s a healthy alternative for potato chips.Ingredients.Potato, Refined Palmolein Oil, Bengal Gram Flour(Besan), Potato Flakes, Potato Starch, Tapioca Starch, Tapary Beans (Moth dal) L iodised Salt, Red Chilli Powder, Black Salt, regulator, Black Pepper, Clove. cardamom, Dried Ginger Powder, Dried Garlic Leaves, Nutmeg, Cinnamon & Mint Leaves.Benefits- It is a healthy snack option for you and your kids. - It is made with all natural ingredients. It is high in protein and is nutrition's. - They are crispy, crunchy and spicy.",Packaged Food > Snacks & Farsans,Aloo Bhujia
Chheda's Mix Farsan,Chheda's,180,99,Packaged Food,Snacks & Farsans,500 gm,India,Packaged Food > Snacks & Farsans,Mix Farsan
Rajam Snacks Garlic Mixture,Rajam Snacks,199,129,Packaged Food,Snacks & Farsans,800 gm,"
Crunchy snack with a combination of omapodi (ingredient made from corn flour), boondhi and fried peanuts seasoned with garlic to give a strong taste and aroma.

*Actual packaging may vary from the Image
Note : Product in stock will be delivered basis availability
",Packaged Food > Snacks & Farsans,Mix Farsan
Haldiram's Khatta Meetha,Haldiram's,75,65,Packaged Food,Snacks & Farsans,350 gm,"
Sweet and salty mix of sago and rice flakes.

*Actual packaging may vary from the Image
",Packaged Food > Snacks & Farsans,Mix Farsan
Haldiram's Khatta Meetha,Haldiram's,200,160,Packaged Food,Snacks & Farsans,1 kg,"
Sweet and salty mix of sago and rice flakes.

*Actual packaging may vary from the Image
",Packaged Food > Snacks & Farsans,Mix Farsan
Bikaji Bhujia,Bikaji,320,219,Packaged Food,Snacks & Farsans,1 kg,"Overview:A 250 Years old Royal Delicacy, perfected over generations by the makers from Bikaner, in Bikaner, using ingredients sourced from and around Bikaner that makes Bikaneri Bhujia so special.Bikaji Bhujia is a perfected mix of both Handmade and Fryer Made Bhujia to keep the tradition of handmade Bhujia alive along with keeping up with the famous great taste.Key FeaturesSavoury specialDew bean and gram flour mixAuthentic - Made in BikanerIngredientsDew Bean Flour (Moth Flour) (47.5%), Edible Vegetable Oil (Palmolein Oil and/or Cottonseed Oil), Gram Flour (9%), Ground Spices and Condiments (Iodised Salt, Red Chilli, Ginger, Black Pepper, Cardamom, Clove, Nutmeg)Care InstructionsStore in cool & dry place, away from sunlight.Once opened, transfer the packet in an air tight container.Any Other Must-Know InformationShelf Life - 6 monthsAllergen advice: This product is made in a facility that processes food containing peanut, treenuts, milk, soy, wheat and sesame.About the BrandBikaji stands for authentic Indian taste, with diverse products and innovative packaging, adding to its commitment of taking Aslee Indian taste to the world. ",Packaged Food > Snacks & Farsans,Bhujia 
Haldiram's Moong Dal,Haldiram's,55,49,Packaged Food,Snacks & Farsans,150 gm,"
All time salted snack of fried moong lentils.

*Actual packaging may vary from the Image
",Packaged Food > Snacks & Farsans,Moong Dal
Haldiram's Moong Dal,Haldiram's,105,93,Packaged Food,Snacks & Farsans,350 gm,"
All time salted snack of fried moong lentils.

*Actual packaging may vary from the Image
",Packaged Food > Snacks & Farsans,Moong Dal
Haldiram's Moong Dal,Haldiram's,260,234,Packaged Food,Snacks & Farsans,1 kg,"
All time salted snack of fried moong lentils.

*Actual packaging may vary from the Image
",Packaged Food > Snacks & Farsans,Moong Dal
Bikaji Soya Sticks,Bikaji,65,32,Packaged Food,Snacks & Farsans,200 gm,"OverviewSoya Sticks Masala Munch from Bikaji is a crispy and spicy snack. Perfect for tea time, it gives you a never-ending aftertaste experience.IngredientsSoya Powder (10%), Edible Vegetable Oil (Palmolein Oil And/or Cottonseed Oil), Tapioca Starch, Black Gram Flour, Edible Vegetable Fat, (salt, Red Chili Powder, Fennel Seed Powder, Garlic Powder, Sugar, Black Pepper Powder, Cumin Powder, Dried Ginger Powder, Dried Mango Powder, Cardamom, Clove Powder, Bay Leaves, Nutmeg, Cinnamon, Acidity Regulator And Antioxidant (ins 330), Asafoetida).How to UseReady to eat.StorageStore in a Cool and Dry Place. ",Packaged Food > Snacks & Farsans,Soya Sticks
Haldiram's Mixture,Haldiram's,74,59,Packaged Food,Snacks & Farsans,350 gm,India,Packaged Food > Snacks & Farsans,Mix Farsan
Bikaneri Shree Ram Bhujia,Shree Ram Bikaneri,340,165,Packaged Food,Snacks & Farsans,1 kg,"OverviewFor those who like some crunch with their tea, this tasty Bikaneri Bhujia is made using high quality moth flour and gram flour and is the perfect evening snack.Key Features- Traditional Indian snack- Made in Bikaner- Crispy and delicious- Hygienically packed- No artificial ingredients",Packaged Food > Snacks & Farsans,Bhujia 
Jayshree Special Farsan,Jayshree,155,77,Packaged Food,Snacks & Farsans,500 gm,"IngredientsBesan, Grain Flour, Edible Oil, Sugar, Rice Flakes, Corn Flakes, Groundnuts, Masoor, Spices, SaltStorage InstructionsAfter opening, transfer the contents into an air-tight container and store in a cool, dry, and hygienic place.",Packaged Food > Snacks & Farsans,Mix Farsan
Chheda's Golden Mix,Chheda's,180,99,Packaged Food,Snacks & Farsans,500 gm,"Overview:Golden Mix is known to excite the taste buds of the tongue with its tangy and spicy flavour. This snack is prepared with the most unique blend of ingredients that result in the amazing taste. Being taken with coffee or tea, these are perfect evening time snack.How To UseBest served with hot beverages like tea, coffees etc.About the BrandThe year was 1993, and Mr. Ashok Chheda, hailing from the Kutchi community in Mumbai, set out with a word of advice from his mother and a simple vision to guide him. What was the advice? To earn the respect of the community, it was important for him to start up his own business. Coming from a family of traders, Mr. Ashok Chheda knew the ins and outs of trading. So, what next? Picture this. Mumbai, the city that never sleeps, had never woken up to the possibility of something other than Potato Chips as a snack. Here is where Mr. Chheda saw his opportunity, and under the name Chheda Wafers, introduced traditional Banana Chips in standardized packaging. This is how the journey began.",Packaged Food > Snacks & Farsans,Mix Farsan
Sitashree Laxminarayan Best Chiwda,Laxminarayan,216,172,Packaged Food,Snacks & Farsans,500 gm,Key Features- Fried poha mixed with a blend of spices that is perfect for any occasion.How to Use- Open the packet and eat it along with chai (tea) or as a side dish with meals.Benefits- Shree Laxminarayan products have no added Preservatives.- All flavours and ingredients are natural and of the best quality.Care Instructions- Keep the packet away from direct sunlight.About the BrandThe famous Chiwda brand started its journey in 1945 in Pune and now is known worldwide for its range of various kinds of chiwda and namkeen.,Packaged Food > Snacks & Farsans,Mix Farsan
Rajam Snacks Madras Mixture,Rajam Snacks,107,79,Packaged Food,Snacks & Farsans,300 gm,India,Packaged Food > Snacks & Farsans,Mix Farsan
Rajam Snacks Madras Mixture,Rajam Snacks,58,49,Packaged Food,Snacks & Farsans,150 gm,India,Packaged Food > Snacks & Farsans,Mix Farsan
Haldiram's Panchratan Mixture,Haldiram's,60,53,Packaged Food,Snacks & Farsans,150 gm,India,Packaged Food > Snacks & Farsans,Mix Farsan
Rajam Mix Farsan,Rajam,143,71,Packaged Food,Snacks & Farsans,400 gm,"  OverviewA crunchy and delicious tea-time snack, Mix Farsan can also be added to chaats, misal or usal. It is also the perfect savoury to carry along on trips.Key FeaturesCrispyTraditional tasteNo artificial additivesStorageStore in a cool and dry place. ",Packaged Food > Snacks & Farsans,Mix Farsan
Rajam Snacks Tikha Gathiya,Rajam,143,71,Packaged Food,Snacks & Farsans,400 gm,"Overview:Made from high quality besan flour, this savoury snack is perfect for tea time.Storage Condition:Store in a cool and dry place.",Packaged Food > Snacks & Farsans,Tikha Gathiya
Garden Diet Bhel,Garden,55,35,Packaged Food,Snacks & Farsans,140 gm,"Overview:Garden Diet Bhel is the tasty Mumbai origin bhel, which is a good snacking option during tea time, snack time or during a tasty and healthy time pass particularly for the diet conscious people. A unique oil-re extraction hydro process is applied during the manufacturing of Gardens diet range and it directly lowers the fat content in all these snack optionsIngredientsPuffed Rice, Rice Flakes, Gram flour, Refined Palmolein oil, Roasted Gram, Iodised Salt, Turmeric Powder, Curry Leaves, Mustard Seeds, Cumin Seeds & Ground Spices.Care InstructionsStore in a cool and dry place.About the BrandGarden Namkeens stands for authenticity and meeting the expectations of every Indian, regardless of his or her region of origin. A brand of CavinKare, it caters to a wide variety of taste buds, alienating no one, and yet remaining original with its flavours and options.",Packaged Food > Snacks & Farsans,Bhel
Kurkure Masala Munch,Kurkure,20,18,Packaged Food,Snacks & Farsans,77.2 gm,"Overview Kurkure is the perfect savoury snack to have at tea time. The masala munch is a classic Kurkure flavour with a great combination of spice and crunch. Made with trusted kitchen ingredients, this snack is 100% Vegetarian.How to UseSurprise guests visit at home with a flavour that can win everyone&rsquo;s heart and satisfy their taste buds too! Share and enjoy your favourite snack - KurkureKey Features- Made with trusted kitchen ingredients such as corn, dal, and rice. - It is a 100% vegetarian snackShelf life in days120 DaysAbout the BrandKurkure is a crunchy, new-age namkeen snack brand that symbolizes light-hearted fun. Embodying the spirit of India, Kurkure has found a home in millions of hearts and minds and enjoys the position of a strong love mark brand in India. Made with trusted kitchen ingredients: 100% vegetarian all the raw materials used in Kurkure comply with the food safety & standards act & regulations 2006 and rules that govern the manufacture, distribution, and sale of Kurkure.",Packaged Food > Snacks & Farsans,Kurkure
Agrawal's 420 Khatta Meetha Mix,Agrawal's 420,250,125,Packaged Food,Snacks & Farsans,900 gm,"OverviewDelicious sweet and sour namkeen. Indori taste served differently. The product is packed using nitrogen in the 'Three Layer Aluminium Foil Pack' to maintain the freshness, taste and longer shelf life.Key Features- Premium quality- 100% vegetarian- 100% freshIngredientsEdible Vegetable Oil (27%) (Palmolein Oil and/or Cotton Seed Oil), Rice Flakes(20%), Gram Flour(20%), Sugar(14%), Gram Dal, Peanuts, Masoor Dal, Iodised Salt, Tumeric Powder, Citric Acid(0.33%), Spices Condiments.Storage ConditionStore in a clean, cool dry place. Keep away from direct sunlight strong odours. Once opened keep the material in the airtight container.",Packaged Food > Snacks & Farsans,Mix Farsan
Kurkure Green Chutney Style,Kurkure,20,18,Packaged Food,Snacks & Farsans,77.2 gm,"Overview Add a dash of chatpatapan and masti to your moments with the crunchy and crispy Kurkure Green Chutney chips.How to UseKurkure is the perfect savoury snack to have at tea time.Key Features- Made with trusted kitchen ingredients such as corn, dal, and rice. - It is a 100% vegetarian snackShelf life in days120 DaysAbout the BrandKurkure is a crunchy, new-age namkeen snack brand that symbolizes light-hearted fun. Embodying the spirit of India, Kurkure has found a home in millions of hearts and minds and enjoys the position of a strong love mark brand in India. Made with trusted kitchen ingredients: 100% vegetarian all the raw materials used in Kurkure comply with the food safety & standards act & regulations 2006 and rules that govern the manufacture, distribution, and sale of Kurkure.",Packaged Food > Snacks & Farsans,Kurkure
Charliee Masala Butter Chakli,Charliee,74,37,Packaged Food,Snacks & Farsans,100 gm,India,Packaged Food > Snacks & Farsans,Chakli
Kurkure Chilli Chatka,Kurkure,20,18,Packaged Food,Snacks & Farsans,81 gm,"Overview Your search for spicy namkeen snacking ends right here. Try the Tedhe Medhe Kurkure Chilli Chataka to get that extra crunch and spice to your snacking time.&nbsp;How to UseKurkure is the perfect savoury snack to have at tea time.Key Features- Made with trusted kitchen ingredients such as corn, dal, and rice. - It is a 100% vegetarian snackShelf life in days120 DaysAbout the BrandKurkure is a crunchy, new-age namkeen snack brand that symbolizes light-hearted fun. Embodying the spirit of India, Kurkure has found a home in millions of hearts and minds and enjoys the position of a strong love mark brand in India. Made with trusted kitchen ingredients: 100% vegetarian all the raw materials used in Kurkure comply with the food safety & standards act & regulations 2006 and rules that govern the manufacture, distribution, and sale of Kurkure.",Packaged Food > Snacks & Farsans,Kurkure
Sun Special Masala Chakli,Sun,62,31,Packaged Food,Snacks & Farsans,100 gm,"OverviewMasala Chakli is a spiral-shaped crisp deep-fried snack that is renowned all over India. It is a light snack that is very crispy and tasty. It is perfect to have on a cold, rainy day, with a hot cup of chai.IngredientsUdad flour, Starch, Salt, Edible Palm Oil, Red Chilly Powder",Packaged Food > Snacks & Farsans,Chakli
Chheda's Yellow Banana Chips,Chheda's,100,65,Packaged Food,Snacks & Farsans,170 gm,India,Packaged Food > Snacks & Farsans,Banana Chips
Chheda's Golden Potato Chips - Lightly Salted,Chheda's,85,49,Packaged Food,Snacks & Farsans,170 gm,India,Packaged Food > Snacks & Farsans,Potato Chips
Lays American Cream & Onion Potato Chips,Lay's,30,26,Packaged Food,Snacks & Farsans,73 gm,"Key FeaturesIncredibly irresistible taste, Relish the delectable combination of sour and cream perfectly blended with herb and onion flavour in our fresh and crispy Lays Cream & onion chips.How to UseWhether it&rsquo;s party time or family time, Lays crunchy potato chips are the best on-the-go chips and snacks choice to bring a smile to all your loved one's faces.Any Other Must-Know InformationMade from top-quality potatoesShelf Life120 daysAbout the BrandHow did they get their start?Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years.What makes their products unique?With flavours almost as rich as their history, they have a chip or crisp flavour guaranteed to bring a smile to your face.",Packaged Food > Snacks & Farsans,Potato Chips
Lays American Cream & Onion Potato Chips,Lay's,50,33,Packaged Food,Snacks & Farsans,104 gm,"Key FeaturesIncredibly irresistible taste, Relish the delectable combination of sour and cream perfectly blended with herb and onion flavour in our fresh and crispy Lays Cream & onion chips.&nbsp;How to UseWhether it&rsquo;s party time or family time, Lays crunchy potato chips are the best on-the-go chips and snacks choice to bring a smile to all your loved ones' faces.Any Other Must-Know InformationMade from top-quality potatoesShelf Life150 daysAbout the BrandHow did they get their start?Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years.What makes their products unique?With flavours almost as rich as their history, they have a chip or crisp flavour guaranteed to bring a smile to your face.",Packaged Food > Snacks & Farsans,Potato Chips
Lays American Cream & Onion Potato Chips,Lay's,78,60,Packaged Food,Snacks & Farsans,174 gm,"Key FeaturesIncredibly irresistible taste, Relish the delectable combination of sour and cream perfectly blended with herb and onion flavour in our fresh and crispy Lays Cream & Onion chips.How to UseWhether its party time or family time, Lays crunchy potato chips are the best on the go chips and snacks choice to bring a smile to all your loved ones' faces.Any Other Must-Know InformationMade from top-quality potatoesShelf Life150 daysAbout the BrandHow did they get their start?Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years.What makes their products unique?With flavours almost as rich as their history, they have a chip or crisp flavour guaranteed to bring a smile to your face.",Packaged Food > Snacks & Farsans,Potato Chips
Lay's Indian Magic Masala Potato Chips,Lay's,50,29,Packaged Food,Snacks & Farsans,104 gm,"Key FeaturesGrab this crunchy Lays Magic Masala potato chips to experience a unique burst of Indian flavour and spices! Your favourite pack of Lays potato chips now comes with a desi twist.How to UseIt&rsquo;s a mouth-watering snack to enjoy while watching a movie when you are working from home, or while you are on a weekend outing.Any Other Must-Know InformationMade from top-quality potatoesShelf Life150 daysAbout the BrandHow did they get their start?Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years.What makes their products unique?With flavours almost as rich as their history, they have a chip or crisp flavour guaranteed to bring a smile to your face.",Packaged Food > Snacks & Farsans,Potato Chips
Lay's Indian Magic Masala Potato Chips,Lay's,78,65,Packaged Food,Snacks & Farsans,174 gm,"Key FeaturesGrab this crispy Lays Magic Masala potato chips to experience a unique burst of Indian flavour and spices! Your favourite pack of Lays potato chips now comes with a desi twist.How to UseIt&rsquo;s a mouth-watering snack to enjoy while watching a movie when you are working from home, or while you are on a weekend outing.Any Other Must-Know InformationMade from top-quality potatoesShelf Life150 daysAbout the BrandHow did they get their start?Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years.What makes their products unique?With flavours almost as rich as their history, they have a chip or crisp flavour guaranteed to bring a smile to your face.",Packaged Food > Snacks & Farsans,Potato Chips
Lay's Indian Magic Masala Potato Chips,Lay's,30,26,Packaged Food,Snacks & Farsans,73 gm,"Key FeaturesGrab this crispy Lays Magic Masala potato chips to experience a unique burst of Indian flavour and spices! Your favourite pack of Lays potato chips now comes with a desi twist.How to UseIt&rsquo;s a mouth-watering snack to enjoy while watching a movie when you are working from home, or while you are on a weekend outing.Any Other Must-Know InformationMade from top-quality potatoesShelf Life120 daysAbout the BrandHow did they get their start?Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years.What makes their products unique?With flavours almost as rich as their history, they have a chip or crisp flavour guaranteed to bring a smile to your face.",Packaged Food > Snacks & Farsans,Potato Chips
Chheda's Long Masala Banana Chips,Chheda's,85,55,Packaged Food,Snacks & Farsans,170 gm,India,Packaged Food > Snacks & Farsans,Banana Chips
Chheda's Salt-N-Pepper Banana Chips,Chheda's,75,49,Packaged Food,Snacks & Farsans,170 gm,India,Packaged Food > Snacks & Farsans,Banana Chips
Pringles Potato Chips - Original,Pringles,115,87,Packaged Food,Snacks & Farsans,107 gm,"
- Try Pringles Original!
- Unlike other Potato chips, Pringles crisps are made from a mix of Potato, Rice flour, Corn Flour, and Wheat starch. It is light and crispy and comes in a can!
- Experience the Pringles magic today!
",Packaged Food > Snacks & Farsans,Potato Chips
Pringles Potato Chips - Sour Cream & Onion,Pringles,115,89,Packaged Food,Snacks & Farsans,107 gm,"
*Actual packaging may vary from the Image
",Packaged Food > Snacks & Farsans,Potato Chips
Motas Potato Chips,Motas,90,80,Packaged Food,Snacks & Farsans,200 gm,"Overview:Lend any occasion a classic touch with these premium salted potato chips. Made with freshly sliced potatoes, this timeless recipe is made special with the innovative Mota Chips touch. An all-time favourite, its mild, melt-in your mouth flavour makes it an excellent choice.About the BrandMota Chips is one of the leading manufacturers of potato chips and other delicious savouries.A brainchild of food lover Mr. Ajit Mota, it has consistently maintained its purpose of serving exotic snacks and delicious treats.",Packaged Food > Snacks & Farsans,Potato Chips
Lays Classic Salted,Lay's,50,40,Packaged Food,Snacks & Farsans,104 gm,"Key FeaturesClassics can never go wrong and Lays Classic salted potato chips surely delight all the generations! Grab and share your packet of Classic Lays with all your loved ones!How to UseIt&rsquo;s a mouth-watering snack to enjoy while watching a movie when you are working from home, or while you are on a weekend outing.Any Other Must-Know InformationMade from top-quality potatoesSelf Life150 daysAbout the BrandHow did they get their start?Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years.What makes their products unique?With flavours almost as rich as their history, they have a chip or crisp flavour guaranteed to bring a smile to your face.",Packaged Food > Snacks & Farsans,Potato Chips
Lay's Spanish Tomato Tango Potato Chips,Lay's,50,32,Packaged Food,Snacks & Farsans,104 gm,"Key FeaturesDo the tango while snacking on the tangy and crispy Lays Spanish Tomato Tango chips.How to UseIt&rsquo;s a mouth-watering snack to enjoy while watching a movie when you are working from home, or while you are on a weekend outing.Any Other Must-Know InformationMade from top-quality potatoesShelf Life150 daysAbout the BrandHow did they get their start?Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years.What makes their products unique?With flavours almost as rich as their history, they have a chip or crisp flavour guaranteed to bring a smile to your face.",Packaged Food > Snacks & Farsans,Potato Chips
Chheda's Tomato Banana Chips,Chheda's,75,50,Packaged Food,Snacks & Farsans,170 gm,"
*Actual packaging may vary from the Image
",Packaged Food > Snacks & Farsans,Banana Chips
Britannia Potazos Masti Masala,Britannia,25,17,Packaged Food,Snacks & Farsans,71.5 gm,"OverviewIt is a thin, light, crunchy potato biscuit with a mouth-watering, flavourful masala seasoning sprinkled on top that keeps you wanting more. A biscuit that dares to be all things to all people. Serving as delicious, crunchy snacks, these biscuits can be used as side dishes too. As the masala flavour makes it even more fun.",Packaged Food > Snacks & Farsans,Potato Chips
Doritos Nacho Cheese Flavour,Doritos,85,70,Packaged Food,Snacks & Farsans,153 gm,"Key FeaturesNachos that are cheesier than any of the pickup lines! Enjoy restaurant-like crunchy nachos snacks from the comfort of your home.How to UseCrunchiest chips to accompany you, while binge-watching or to build the mood for your house parties or satisfy your late-night snack cravings.Any Other Must-Know InformationTooth Rattling Crunch & Intense Flavour that ignites your bold self-expression.Shelf Life180 daysAbout the BrandDORITOS isn&rsquo;t just a chip. It&rsquo;s fuel for disruption, our flavours ignite adventure and inspire action. With every crunch, they aim to redefine culture and support those who are boldly themselves. Their range of flavours takes bold to the next level; Get ready for an explosion of flavour in every crunchy bite. Are you ready? If so, Crunch on and get your Bold on.",Packaged Food > Snacks & Farsans,Nacho
Rajam Snacks Yellow Banana Chips,Rajam Snacks,159,119,Packaged Food,Snacks & Farsans,300 gm,India,Packaged Food > Snacks & Farsans,Banana Chips
Pringles Potato Chips - Peri Peri,Pringles,115,94,Packaged Food,Snacks & Farsans,107 gm,"
Try our Pringles South African Peri Peri Flavour!
Unlike other Potato chips, Pringles crisps are made from a mix of Potato, Rice flour, Corn Flour, and Wheat starch. It is light and crispy and comes in a can!
Experience the Pringles magic today!
",Packaged Food > Snacks & Farsans,Potato Chips
Balaji Cream & Onion Wafers,Balaji,40,35,Packaged Food,Snacks & Farsans,135 gm,"OverviewOne of the tastiest wafers around that will make you come back for its irresistible fusion of sour cream, herbs and spring onion.Key Features- Vegetarian- 88% Potato- Crunchy and delicious",Packaged Food > Snacks & Farsans,Potato Chips
Balaji Wafers Simply Salted,Balaji,40,36,Packaged Food,Snacks & Farsans,150 gm,India,Packaged Food > Snacks & Farsans,Potato Chips
